Región,Annual,DJF,MAM,JJA,SON
Argentina,14.60,20.55,14.45,8.42,14.98
Santiago Del Estero,20.96,26.65,20.57,14.72,21.92
La Rioja,15.61,21.62,15.22,9.06,16.52
Tierra Del Fuego,4.86,8.67,4.96,0.88,4.96
Buenos Aires D.f.,16.81,22.85,17.12,10.94,16.37
Mendoza,12.42,19.26,12.32,5.40,12.70
Tucuman,17.12,22.32,16.74,11.19,18.21
Catamarca,10.18,15.02,9.97,4.79,10.93
Misiones,20.70,25.24,20.76,15.96,20.85
Chaco,21.89,26.99,21.51,16.50,22.55
Neuquen,10.49,17.20,10.28,3.96,10.52
Chubut,10.01,16.03,10.09,3.82,10.10
Rio Negro,12.30,19.23,12.06,5.32,12.60
Cordoba,17.48,23.61,17.42,11.04,17.85
Salta,16.23,20.53,15.86,11.02,17.52
Corrientes,20.71,26.11,20.77,15.38,20.60
San Juan,10.37,16.32,10.32,4.29,10.55
Entre Rios,18.26,24.32,18.33,12.40,18.01
San Luis,16.88,23.80,16.49,9.52,17.71
Formosa,22.91,27.61,22.51,17.89,23.64
Santa Cruz,7.76,13.32,7.65,1.80,8.25
Jujuy,9.83,13.45,9.85,5.03,10.97
Santa Fe,19.01,24.92,18.99,13.07,19.07
La Pampa,15.37,23.03,14.83,7.71,15.91
Buenos Aires,15.17,21.69,15.25,8.83,14.90
